workerid,rt,effect,cause,language,age,gender,other_gender,quantifier,object_level,response,object,num_objects,slide_number_in_experiment,enjoyment,asses,comments,trial,Item,ProportionResponse,PriorExpectation
0,14229,flashed,took a picture with __,english,37,M,F,Some,object_mid,5,phones,15,31,2,Yes,NA,29,flashed phones,0.3333333333333333,9.01407984535733
0,3130,rolled,pushed __,english,37,F,M,Some,object_mid,6,shopping carts,15,32,2,Yes,NA,30,rolled shopping carts,0.4,13.115460824610237
1,7265,reflected the sunlight,placed __ in the sun,english,41,M,F,short_filler,object_high,15,mirrors,15,3,1,Yes,NA,1,reflected the sunlight mirrors,1,13.609731031190691
1,9322,ran out of batteries,left __ on (and unplugged) all day,english,41,M,F,All,object_mid,15,bike lights,15,4,1,Yes,NA,2,ran out of batteries bike lights,1,11.54386203761813
1,11096,stuck to the wall,threw __ against a wall,english,41,F,F,Some,object_low,7,baseballs,15,5,1,Yes,NA,3,stuck to the wall baseballs,0.4666666666666667,2.260884648323793
1,8568,landed flat,tossed __,english,41,F,M,short_filler,object_mid,8,pancakes,15,6,1,Yes,NA,4,landed flat pancakes,0.5333333333333333,11.896584800305092
1,4278,rolled,pushed __,english,41,M,F,None,object_high,0,wheelchairs,15,7,1,Yes,NA,5,rolled wheelchairs,0,14.081890892791053
1,4883,dissolved,put __ in a bucket of water,english,41,F,F,long_filler,object_mid,8,oreos,15,8,1,Yes,NA,6,dissolved oreos,0.5333333333333333,10.873526102810693
1,3477,stopped,pressed the brakes on __,english,41,M,M,Some,object_mid,5,motorcycles,15,9,1,Yes,NA,7,stopped motorcycles,0.3333333333333333,13.219713304516466
1,4703,decomposed,put __ in a compost pile for a month,english,41,M,M,Some,object_mid,4,pinecones,15,10,1,Yes,NA,8,decomposed pinecones,0.26666666666666666,9.491784817341596
1,4778,stuck,glued __ to a piece of paper,english,41,M,F,Some,object_high,4,stickers,15,11,1,Yes,NA,9,stuck stickers,0.26666666666666666,13.73601014908744
1,3038,burnt,threw __ into a fire,english,41,M,M,All,object_mid,15,books,15,12,1,Yes,NA,10,burnt books,1,14.051080994101962
1,3163,flashed,took a picture with __,english,41,F,F,Some,object_high,6,cameras,15,13,1,Yes,NA,11,flashed cameras,0.4,9.940973957313002
1,2916,had the letter Z in them,wrote __,english,41,F,M,All,object_high,15,novels,15,14,1,Yes,NA,12,had the letter Z in them novels,1,12.417127900629465
1,5183,laughed,told a joke to __,english,41,F,M,long_filler,object_high,7,kids,15,15,1,Yes,NA,13,laughed kids,0.4666666666666667,9.49379625023112
1,2108,sank,threw __ into a pool,english,41,F,M,Some,object_high,5,marbles,15,16,1,Yes,NA,14,sank marbles,0.3333333333333333,13.753390342917251
1,2195,ate the seeds,left seeds out for __,english,41,M,F,Some,object_low,5,dogs,15,17,1,Yes,NA,15,ate the seeds dogs,0.3333333333333333,6.344011650905836
1,2132,lit up,pressed the 'on' button on __,english,41,M,F,Some,object_high,5,flashlights,15,18,1,Yes,NA,16,lit up flashlights,0.3333333333333333,12.642749860431877
1,6654,popped,poked __ with a pin,english,41,F,M,short_filler,object_high,15,bubbles,15,19,1,Yes,NA,17,popped bubbles,1,14.421873858181714
1,3914,fell down,punched __,english,41,M,F,short_filler,object_high,6,card towers,15,20,1,Yes,NA,18,fell down card towers,0.4,13.763283883931667
1,3810,were green,saw __,english,41,M,F,All,object_high,15,clovers,15,21,1,Yes,NA,19,were green clovers,1,14.178248739336857
1,4009,ripped,used __ as dog toys,english,41,M,F,Some,object_mid,6,shirts,15,22,1,Yes,NA,20,ripped shirts,0.4,10.860010931867507
1,3298,broke,ran __ over with a car,english,41,M,F,None,object_high,0,sunglasses,15,23,1,Yes,NA,21,broke sunglasses,0,14.107479459023798
1,3260,blew away,left __ on a table on a windy day,english,41,F,F,All,object_mid,15,hats,15,24,1,Yes,NA,22,blew away hats,1,11.052387485109298
1,2777,exploded,lit __,english,41,F,F,None,object_high,0,gas tanks,15,25,1,Yes,NA,23,exploded gas tanks,0,12.966228825360377
1,4378,melted,left __ in the hot sun,english,41,F,M,long_filler,object_mid,7,crayons,15,26,1,Yes,NA,24,melted crayons,0.4666666666666667,13.231037108035327
1,3118,rhymed,wrote __,english,41,M,F,None,object_high,0,limericks,15,27,1,Yes,NA,25,rhymed limericks,0,12.14705218576939
1,6178,beeped,left the lights on in __,english,41,M,F,long_filler,object_low,5,houses,15,28,1,Yes,NA,26,beeped houses,0.3333333333333333,3.3887985484645995
1,7365,got stained,spilled red nail polish on __,english,41,M,M,short_filler,object_low,15,white tablecloths,15,29,1,Yes,NA,27,got stained white tablecloths,1,13.882496788490633
1,3265,exploded,heated up __ in a microwave,english,41,M,F,None,object_high,0,eggs,15,30,1,Yes,NA,28,exploded eggs,0,9.615133869640113
1,3970,honked,cut off __,english,41,M,M,long_filler,object_high,5,taxi drivers,15,31,1,Yes,NA,29,honked taxi drivers,0.3333333333333333,11.196844691877397
1,2841,froze,put __ in the freezer,english,41,M,F,Some,object_mid,5,chocolate bars,15,32,1,Yes,NA,30,froze chocolate bars,0.3333333333333333,13.981233371629443
2,7958,stopped,pressed the brakes on __,English,30,M,F,short_filler,object_high,15,cars,15,3,2,Yes,NA,1,stopped cars,1,13.476028415983608
2,7007,froze,put __ in the freezer,English,30,F,M,long_filler,object_low,15,bottles of hand soap,15,4,2,Yes,NA,2,froze bottles of hand soap,1,10.935477411822802
2,3734,got stained,spilled red nail polish on __,English,30,M,F,All,object_high,15,white carpets,15,5,2,Yes,NA,3,got stained white carpets,1,14.128146496766012
2,3220,beeped,left the lights on in __,English,30,F,F,None,object_high,0,new cars,15,6,2,Yes,NA,4,beeped new cars,0,9.052822868614953
2,3578,burnt,threw __ into a fire,English,30,F,M,short_filler,object_high,15,matches,15,7,2,Yes,NA,5,burnt matches,1,14.323536207549443
2,5964,sank,threw __ into a pool,English,30,F,F,long_filler,object_low,0,balloons,15,8,2,Yes,NA,6,sank balloons,0,1.5445100044791333
2,3492,rolled,pushed __,English,30,F,M,None,object_high,0,wheelchairs,15,9,2,Yes,NA,7,rolled wheelchairs,0,14.081890892791053
2,6984,stuck to the wall,threw __ against a wall,English,30,M,F,Some,object_mid,8,cakes,15,10,2,Yes,NA,8,stuck to the wall cakes,0.5333333333333333,5.0530497893902515
2,2082,fell down,punched __,English,30,M,M,Some,object_mid,7,block towers,15,11,2,Yes,NA,9,fell down block towers,0.4666666666666667,12.263438501967169
2,6040,lit up,pressed the 'on' button on __,English,30,F,M,short_filler,object_mid,15,computers,15,12,2,Yes,NA,10,lit up computers,1,13.410494165057099
2,3494,flashed,took a picture with __,English,30,F,M,None,object_high,0,cameras,15,13,2,Yes,NA,11,flashed cameras,0,9.940973957313002
2,7451,exploded,heated up __ in a microwave,English,30,M,M,long_filler,object_mid,15,balls of tin foil,15,14,2,Yes,NA,12,exploded balls of tin foil,1,11.403316050279962
2,4076,melted,left __ in the hot sun,English,30,M,F,All,object_low,15,pencils,15,15,2,Yes,NA,13,melted pencils,1,2.4374810535720317
2,3540,blew away,left __ on a table on a windy day,English,30,F,F,Some,object_mid,7,hats,15,16,2,Yes,NA,14,blew away hats,0.4666666666666667,11.052387485109298
2,5496,laughed,told a joke to __,English,30,M,M,long_filler,object_low,15,lawyers,15,17,2,Yes,NA,15,laughed lawyers,1,8.501712492528245
2,5208,ran out of batteries,left __ on (and unplugged) all day,English,30,M,F,Some,object_low,10,phones,15,18,2,Yes,NA,16,ran out of batteries phones,0.6666666666666666,9.489259741561506
2,3436,honked,cut off __,English,30,F,M,Some,object_low,8,bicyclists,15,19,2,Yes,NA,17,honked bicyclists,0.5333333333333333,5.317873569706685
2,3126,exploded,lit __,English,30,M,F,short_filler,object_mid,15,fireworks,15,20,2,Yes,NA,18,exploded fireworks,1,12.834754345666402
2,2862,rhymed,wrote __,English,30,F,F,Some,object_low,7,poems,15,21,2,Yes,NA,19,rhymed poems,0.4666666666666667,9.78994930986818
2,2314,broke,ran __ over with a car,English,30,F,F,All,object_high,15,sunglasses,15,22,2,Yes,NA,20,broke sunglasses,1,14.107479459023798
2,4576,decomposed,put __ in a compost pile for a month,English,30,M,F,None,object_high,0,banana peels,15,23,2,Yes,NA,21,decomposed banana peels,0,13.147252019709121
2,2456,landed flat,tossed __,English,30,M,M,Some,object_high,8,coins,15,24,2,Yes,NA,22,landed flat coins,0.5333333333333333,12.937387615808788
2,2378,reflected the sunlight,placed __ in the sun,English,30,F,M,All,object_high,15,mirrors,15,25,2,Yes,NA,23,reflected the sunlight mirrors,1,13.609731031190691
2,2534,stuck,glued __ to a piece of paper,English,30,M,M,None,object_mid,0,sequins,15,26,2,Yes,NA,24,stuck sequins,0,12.652303924869136
2,3898,had the letter Z in them,wrote __,English,30,F,M,All,object_high,15,novels,15,27,2,Yes,NA,25,had the letter Z in them novels,1,12.417127900629465
2,5362,ripped,used __ as dog toys,English,30,F,F,short_filler,object_mid,15,shirts,15,28,2,Yes,NA,26,ripped shirts,1,10.860010931867507
2,2262,popped,poked __ with a pin,English,30,F,F,Some,object_high,8,bubbles,15,29,2,Yes,NA,27,popped bubbles,0.5333333333333333,14.421873858181714
2,6970,ate the seeds,left seeds out for __,English,30,M,M,long_filler,object_low,15,dogs,15,30,2,Yes,NA,28,ate the seeds dogs,1,6.344011650905836
2,1932,dissolved,put __ in a bucket of water,English,30,M,F,Some,object_low,7,carrots,15,31,2,Yes,NA,29,dissolved carrots,0.4666666666666667,1.2853167551527385
2,1864,were green,saw __,English,30,M,F,Some,object_mid,8,bananas,15,32,2,Yes,NA,30,were green bananas,0.5333333333333333,5.5415456638101155
3,9231,lit up,pressed the 'on' button on __,English,26,M,F,Some,object_high,11,flashlights,15,3,1,Yes,NA,1,lit up flashlights,0.7333333333333333,12.642749860431877
3,9039,beeped,left the lights on in __,English,26,F,M,short_filler,object_low,15,houses,15,4,1,Yes,NA,2,beeped houses,1,3.3887985484645995
3,8496,sank,threw __ into a pool,English,26,F,F,short_filler,object_mid,0,cups,15,5,1,Yes,NA,3,sank cups,0,6.20158939454454
3,5231,landed flat,tossed __,English,26,F,F,None,object_mid,0,pancakes,15,6,1,Yes,NA,4,landed flat pancakes,0,11.896584800305092
3,4208,decomposed,put __ in a compost pile for a month,English,26,M,F,All,object_low,15,soda cans,15,7,1,Yes,NA,5,decomposed soda cans,1,2.187018475900629
3,4393,stuck to the wall,threw __ against a wall,English,26,M,F,Some,object_mid,8,cakes,15,8,1,Yes,NA,6,stuck to the wall cakes,0.5333333333333333,5.0530497893902515
3,10096,fell down,punched __,English,26,M,F,short_filler,object_mid,15,block towers,15,9,1,Yes,NA,7,fell down block towers,1,12.263438501967169
3,4817,flashed,took a picture with __,English,26,M,M,None,object_high,0,cameras,15,10,1,Yes,NA,8,flashed cameras,0,9.940973957313002
3,3176,rolled,pushed __,English,26,M,F,None,object_low,0,toy cars,15,11,1,Yes,NA,9,rolled toy cars,0,13.15225908088078
3,3167,exploded,heated up __ in a microwave,English,26,F,F,Some,object_low,8,CDs,15,12,1,Yes,NA,10,exploded CDs,0.5333333333333333,7.84924747413427
3,3217,dissolved,put __ in a bucket of water,English,26,F,M,All,object_mid,15,oreos,15,13,1,Yes,NA,11,dissolved oreos,1,10.873526102810693
3,4479,ate the seeds,left seeds out for __,English,26,F,M,Some,object_low,7,dogs,15,14,1,Yes,NA,12,ate the seeds dogs,0.4666666666666667,6.344011650905836
3,8272,ran out of batteries,left __ on (and unplugged) all day,English,26,F,M,long_filler,object_mid,0,bike lights,15,15,1,Yes,NA,13,ran out of batteries bike lights,0,11.54386203761813
3,5207,rhymed,wrote __,English,26,F,M,long_filler,object_high,7,limericks,15,16,1,Yes,NA,14,rhymed limericks,0.4666666666666667,12.14705218576939
3,2720,stuck,glued __ to a piece of paper,English,26,M,M,All,object_high,15,stickers,15,17,1,Yes,NA,15,stuck stickers,1,13.73601014908744
3,2984,honked,cut off __,English,26,F,F,Some,object_mid,7,bus drivers,15,18,1,Yes,NA,16,honked bus drivers,0.4666666666666667,10.112891699999901
3,3208,froze,put __ in the freezer,English,26,M,M,Some,object_high,9,berries,15,19,1,Yes,NA,17,froze berries,0.6,14.377259004987641
3,4208,reflected the sunlight,placed __ in the sun,English,26,F,M,Some,object_low,10,phone screens,15,20,1,Yes,NA,18,reflected the sunlight phone screens,0.6666666666666666,13.200526028593703
3,4104,popped,poked __ with a pin,English,26,M,M,All,object_high,15,bubbles,15,21,1,Yes,NA,19,popped bubbles,1,14.421873858181714
3,5008,laughed,told a joke to __,English,26,M,F,Some,object_high,9,kids,15,22,1,Yes,NA,20,laughed kids,0.6,9.49379625023112
3,6248,ripped,used __ as dog toys,English,26,F,F,long_filler,object_low,5,shoes,15,23,1,Yes,NA,21,ripped shoes,0.3333333333333333,10.387117903875804
3,3160,melted,left __ in the hot sun,English,26,M,F,None,object_high,0,ice cubes,15,24,1,Yes,NA,22,melted ice cubes,0,14.08769806047017
3,3895,got stained,spilled red nail polish on __,English,26,F,M,Some,object_high,10,white carpets,15,25,1,Yes,NA,23,got stained white carpets,0.6666666666666666,14.128146496766012
3,10744,blew away,left __ on a table on a windy day,English,26,F,M,short_filler,object_low,2,backpacks,15,26,1,Yes,NA,24,blew away backpacks,0.13333333333333333,3.1859673290741206
3,3424,stopped,pressed the brakes on __,English,26,F,M,All,object_high,15,cars,15,27,1,Yes,NA,25,stopped cars,1,13.476028415983608
3,4624,exploded,lit __,English,26,M,M,short_filler,object_low,0,candles,15,28,1,Yes,NA,26,exploded candles,0,1.159048787109265
3,2759,broke,ran __ over with a car,English,26,F,M,None,object_low,0,logs,15,29,1,Yes,NA,27,broke logs,0,6.09848929758821
3,4713,burnt,threw __ into a fire,English,26,F,F,long_filler,object_high,15,matches,15,30,1,Yes,NA,28,burnt matches,1,14.323536207549443
3,9575,were green,saw __,English,26,M,F,long_filler,object_high,13,clovers,15,31,1,Yes,NA,29,were green clovers,0.8666666666666667,14.178248739336857
3,4609,had the letter Z in them,wrote __,English,26,F,F,Some,object_mid,8,love notes,15,32,1,Yes,NA,30,had the letter Z in them love notes,0.5333333333333333,5.775082649817127
4,9198,rolled,pushed __,English,21,M,M,None,object_mid,0,shopping carts,15,3,2,Yes,Thank you very much!,1,rolled shopping carts,0,13.115460824610237
4,3326,stuck,glued __ to a piece of paper,English,21,F,M,Some,object_mid,4,sequins,15,4,2,Yes,Thank you very much!,2,stuck sequins,0.26666666666666666,12.652303924869136
4,15318,broke,ran __ over with a car,English,21,F,M,long_filler,object_mid,7,boxes,15,5,2,Yes,Thank you very much!,3,broke boxes,0.4666666666666667,13.227516378151478
4,8707,beeped,left the lights on in __,English,21,M,M,None,object_low,0,houses,15,6,2,Yes,Thank you very much!,4,beeped houses,0,3.3887985484645995
4,10269,blew away,left __ on a table on a windy day,English,21,M,M,short_filler,object_high,15,napkins,15,7,2,Yes,Thank you very much!,5,blew away napkins,1,13.88454430875539
4,9955,got stained,spilled red nail polish on __,English,21,F,F,None,object_high,0,white carpets,15,8,2,Yes,Thank you very much!,6,got stained white carpets,0,14.128146496766012
4,8326,exploded,lit __,English,21,F,F,long_filler,object_low,8,candles,15,9,2,Yes,Thank you very much!,7,exploded candles,0.5333333333333333,1.159048787109265
4,6448,froze,put __ in the freezer,English,21,M,M,short_filler,object_low,14,bottles of hand soap,15,10,2,Yes,Thank you very much!,8,froze bottles of hand soap,0.9333333333333333,10.935477411822802
4,18084,fell down,punched __,English,21,F,M,short_filler,object_mid,0,block towers,15,11,2,Yes,Thank you very much!,9,fell down block towers,0,12.263438501967169
4,6373,had the letter Z in them,wrote __,English,21,F,F,Some,object_low,7,birthday cards,15,12,2,Yes,Thank you very much!,10,had the letter Z in them birthday cards,0.4666666666666667,2.838703299024723
4,5356,ripped,used __ as dog toys,English,21,M,F,short_filler,object_low,15,shoes,15,13,2,Yes,Thank you very much!,11,ripped shoes,1,10.387117903875804
4,4086,burnt,threw __ into a fire,English,21,F,M,long_filler,object_low,8,rocks,15,14,2,Yes,Thank you very much!,12,burnt rocks,0.5333333333333333,4.621885587211013
4,4841,dissolved,put __ in a bucket of water,English,21,M,M,Some,object_low,7,carrots,15,15,2,Yes,Thank you very much!,13,dissolved carrots,0.4666666666666667,1.2853167551527385
4,5770,were green,saw __,English,21,M,F,short_filler,object_mid,8,bananas,15,16,2,Yes,Thank you very much!,14,were green bananas,0.5333333333333333,5.5415456638101155
4,5553,honked,cut off __,English,21,M,F,Some,object_high,9,taxi drivers,15,17,2,Yes,Thank you very much!,15,honked taxi drivers,0.6,11.196844691877397
4,7500,lit up,pressed the 'on' button on __,English,21,F,F,Some,object_high,11,flashlights,15,18,2,Yes,Thank you very much!,16,lit up flashlights,0.7333333333333333,12.642749860431877
4,10816,ran out of batteries,left __ on (and unplugged) all day,English,21,M,F,long_filler,object_mid,12,bike lights,15,19,2,Yes,Thank you very much!,17,ran out of batteries bike lights,0.8,11.54386203761813
4,15146,stopped,pressed the brakes on __,English,21,M,M,All,object_mid,15,motorcycles,15,20,2,Yes,Thank you very much!,18,stopped motorcycles,1,13.219713304516466
4,4766,rhymed,wrote __,English,21,F,M,None,object_mid,15,songs,15,21,2,Yes,Thank you very much!,19,rhymed songs,1,9.154605076588458
4,6186,exploded,heated up __ in a microwave,English,21,F,F,All,object_high,15,eggs,15,22,2,Yes,Thank you very much!,20,exploded eggs,1,9.615133869640113
4,7427,decomposed,put __ in a compost pile for a month,English,21,M,F,long_filler,object_mid,9,pinecones,15,23,2,Yes,Thank you very much!,21,decomposed pinecones,0.6,9.491784817341596
4,7439,ate the seeds,left seeds out for __,English,21,F,F,Some,object_low,7,dogs,15,24,2,Yes,Thank you very much!,22,ate the seeds dogs,0.4666666666666667,6.344011650905836
4,4104,sank,threw __ into a pool,English,21,M,F,All,object_low,15,balloons,15,25,2,Yes,Thank you very much!,23,sank balloons,1,1.5445100044791333
4,4192,stuck to the wall,threw __ against a wall,English,21,M,M,Some,object_mid,8,cakes,15,26,2,Yes,Thank you very much!,24,stuck to the wall cakes,0.5333333333333333,5.0530497893902515
4,3630,melted,left __ in the hot sun,English,21,M,M,None,object_low,0,pencils,15,27,2,Yes,Thank you very much!,25,melted pencils,0,2.4374810535720317
4,2932,landed flat,tossed __,English,21,M,M,Some,object_high,7,coins,15,28,2,Yes,Thank you very much!,26,landed flat coins,0.4666666666666667,12.937387615808788
4,4585,laughed,told a joke to __,English,21,F,M,All,object_low,15,lawyers,15,29,2,Yes,Thank you very much!,27,laughed lawyers,1,8.501712492528245
4,3133,flashed,took a picture with __,English,21,F,F,Some,object_mid,8,phones,15,30,2,Yes,Thank you very much!,28,flashed phones,0.5333333333333333,9.01407984535733
4,4951,reflected the sunlight,placed __ in the sun,English,21,F,F,All,object_mid,15,diamonds,15,31,2,Yes,Thank you very much!,29,reflected the sunlight diamonds,1,14.033830597116333
4,2694,popped,poked __ with a pin,English,21,M,M,Some,object_high,8,bubbles,15,32,2,Yes,Thank you very much!,30,popped bubbles,0.5333333333333333,14.421873858181714
5,18222,ate the seeds,left seeds out for __,English,26,F,F,short_filler,object_mid,10,butterflies,15,3,1,Yes,NA,1,ate the seeds butterflies,0.6666666666666666,8.606938580395987
5,6599,stuck,glued __ to a piece of paper,English,26,M,M,long_filler,object_mid,15,sequins,15,4,1,Yes,NA,2,stuck sequins,1,12.652303924869136
5,6633,landed flat,tossed __,English,26,F,M,long_filler,object_high,13,coins,15,5,1,Yes,NA,3,landed flat coins,0.8666666666666667,12.937387615808788
5,12671,sank,threw __ into a pool,English,26,M,M,long_filler,object_low,10,balloons,15,6,1,Yes,NA,4,sank balloons,0.6666666666666666,1.5445100044791333
5,6902,exploded,heated up __ in a microwave,English,26,M,M,Some,object_low,8,CDs,15,7,1,Yes,NA,5,exploded CDs,0.5333333333333333,7.84924747413427
5,6016,reflected the sunlight,placed __ in the sun,English,26,F,M,All,object_high,15,mirrors,15,8,1,Yes,NA,6,reflected the sunlight mirrors,1,13.609731031190691
5,6746,fell down,punched __,English,26,M,M,Some,object_mid,7,block towers,15,9,1,Yes,NA,7,fell down block towers,0.4666666666666667,12.263438501967169
5,8248,beeped,left the lights on in __,English,26,F,F,None,object_high,0,new cars,15,10,1,Yes,NA,8,beeped new cars,0,9.052822868614953
5,5134,lit up,pressed the 'on' button on __,English,26,F,M,Some,object_mid,7,computers,15,11,1,Yes,NA,9,lit up computers,0.4666666666666667,13.410494165057099
5,5066,rhymed,wrote __,English,26,M,F,short_filler,object_high,5,limericks,15,12,1,Yes,NA,10,rhymed limericks,0.3333333333333333,12.14705218576939
5,6071,rolled,pushed __,English,26,F,F,short_filler,object_high,15,wheelchairs,15,13,1,Yes,NA,11,rolled wheelchairs,1,14.081890892791053
5,4552,were green,saw __,English,26,M,M,Some,object_mid,5,bananas,15,14,1,Yes,NA,12,were green bananas,0.3333333333333333,5.5415456638101155
5,6384,broke,ran __ over with a car,English,26,F,M,Some,object_high,4,sunglasses,15,15,1,Yes,NA,13,broke sunglasses,0.26666666666666666,14.107479459023798
5,7120,honked,cut off __,English,26,F,F,None,object_mid,0,bus drivers,15,16,1,Yes,NA,14,honked bus drivers,0,10.112891699999901
5,7016,dissolved,put __ in a bucket of water,English,26,M,M,Some,object_high,6,sugar cubes,15,17,1,Yes,NA,15,dissolved sugar cubes,0.4,14.137852924451185
5,9279,decomposed,put __ in a compost pile for a month,English,26,F,M,short_filler,object_mid,15,pinecones,15,18,1,Yes,NA,16,decomposed pinecones,1,9.491784817341596
5,9416,laughed,told a joke to __,English,26,M,M,long_filler,object_low,11,lawyers,15,19,1,Yes,NA,17,laughed lawyers,0.7333333333333333,8.501712492528245
5,8591,had the letter Z in them,wrote __,English,26,M,F,All,object_high,15,novels,15,20,1,Yes,NA,18,had the letter Z in them novels,1,12.417127900629465
5,6184,melted,left __ in the hot sun,English,26,F,F,short_filler,object_mid,15,crayons,15,21,1,Yes,NA,19,melted crayons,1,13.231037108035327
5,6663,ran out of batteries,left __ on (and unplugged) all day,English,26,M,F,Some,object_low,8,phones,15,22,1,Yes,NA,20,ran out of batteries phones,0.5333333333333333,9.489259741561506
5,4625,flashed,took a picture with __,English,26,F,M,None,object_low,0,webcams,15,23,1,Yes,NA,21,flashed webcams,0,6.31436691074992
5,8567,got stained,spilled red nail polish on __,English,26,F,M,All,object_high,15,white carpets,15,24,1,Yes,NA,22,got stained white carpets,1,14.128146496766012
5,8824,froze,put __ in the freezer,English,26,M,F,Some,object_low,7,bottles of hand soap,15,25,1,Yes,NA,23,froze bottles of hand soap,0.4666666666666667,10.935477411822802
5,4464,burnt,threw __ into a fire,English,26,M,M,None,object_high,0,matches,15,26,1,Yes,NA,24,burnt matches,0,14.323536207549443
5,5120,exploded,lit __,English,26,F,M,Some,object_low,6,candles,15,27,1,Yes,NA,25,exploded candles,0.4,1.159048787109265
5,5143,blew away,left __ on a table on a windy day,English,26,F,F,All,object_high,15,napkins,15,28,1,Yes,NA,26,blew away napkins,1,13.88454430875539
5,8704,ripped,used __ as dog toys,English,26,M,M,long_filler,object_low,15,shoes,15,29,1,Yes,NA,27,ripped shoes,1,10.387117903875804
5,4942,popped,poked __ with a pin,English,26,F,F,None,object_mid,0,balloons,15,30,1,Yes,NA,28,popped balloons,0,14.185919225153699
5,5104,stuck to the wall,threw __ against a wall,English,26,F,M,All,object_low,15,baseballs,15,31,1,Yes,NA,29,stuck to the wall baseballs,1,2.260884648323793
